,Suburb,Address,Rooms,Type,Price,Method,Distance,Bedroom2,Bathroom,Car,Landsize,BuildingArea,Lattitude,Longtitude,Regionname
38,Abbotsford,27 Charles St,2,h,1030000,S,2.5,2,1,1,172,81,-37.8086,144.9946,Northern Metropolitan
39,Airport West,154 Halsey Rd,3,t,840000,PI,13.5,3,2,1,303,225,-37.718,144.878,Western Metropolitan
40,Airport West,50 Bedford St,3,h,730000,VB,13.5,3,2,1,0,145,-37.7203,144.8755,Western Metropolitan
41,Airport West,50 Bedford St,3,h,770000,SP,13.5,3,2,1,0,145,-37.7203,144.8755,Western Metropolitan
42,Airport West,23 Hart St,2,h,603000,S,13.5,2,1,1,272,84,-37.7294,144.888,Western Metropolitan
43,Airport West,1/80 Hawker St,3,t,700000,S,13.5,3,2,2,239,134,-37.7218,144.8837,Western Metropolitan
44,Airport West,1/37 Hillside Gr,3,h,600000,S,13.5,2,1,1,290,116,-37.7273,144.8744,Western Metropolitan
45,Airport West,2/49 McIntosh St,2,u,500000,VB,13.5,2,1,1,168,86,-37.7215,144.8864,Western Metropolitan
46,Airport West,54 Marshall Rd,3,h,720000,S,13.5,2,1,1,620,130,-37.7173,144.8872,Western Metropolitan
47,Airport West,36 Roberts Rd,4,h,785000,S,13.5,3,1,2,597,127,-37.7259,144.8792,Western Metropolitan
48,Airport West,11 Harrington Rd,6,h,725000,SP,13.5,6,3,2,976,186,-37.7239,144.8735,Western Metropolitan
49,Airport West,2/252 Parer Rd,2,t,450000,S,13.5,2,1,1,110,90,-37.7216,144.871,Western Metropolitan
50,Airport West,3/19 Hart St,2,u,515000,S,13.5,2,1,1,141,73,-37.7298,144.8883,Western Metropolitan
51,Airport West,2/62 Clydesdale Rd,2,u,530000,S,13.5,2,1,1,120,94,-37.7234,144.8792,Western Metropolitan
52,Airport West,3 Deidre Ct,3,h,895000,PI,13.5,3,1,6,1063,133,-37.7249,144.8728,Western Metropolitan
53,Airport West,13 Etzel St,3,h,805000,S,13.5,3,1,1,0,105,-37.7217,144.8783,Western Metropolitan
54,Airport West,1/43 Cameron St,3,u,752000,S,13.5,3,1,1,265,130,-37.7302,144.8855,Western Metropolitan
55,Airport West,145a Victory Rd,2,u,440000,S,13.5,2,1,1,192,130,-37.7177,144.8787,Western Metropolitan
56,Airport West,241 Parer Rd,5,h,755000,PI,13.5,3,2,2,596,130,-37.7248,144.8699,Western Metropolitan
57,Airport West,2/40 Earl St,3,t,700000,PI,13.5,3,2,2,165,133,-37.727,144.887,Western Metropolitan
58,Airport West,180 Parer Rd,3,h,830000,S,13.5,3,1,2,971,113,-37.7186,144.876,Western Metropolitan
59,Airport West,4/54 Hawker St,2,u,462500,S,13.5,2,1,1,164,130,-37.7218,144.8863,Western Metropolitan
60,Airport West,43 Hillside Gr,3,h,670000,SP,13.5,3,2,2,657,130,-37.7269,144.8742,Western Metropolitan
61,Airport West,174 Parer Rd,2,h,675000,S,13.5,2,1,1,612,100,-37.7187,144.8765,Western Metropolitan
62,Airport West,138 Victory Rd,3,h,1042000,S,13.5,3,2,5,612,174,-37.7173,144.8796,Western Metropolitan
63,Airport West,75 King St,3,h,910000,S,13.5,3,1,1,775,130,-37.7231,144.8835,Western Metropolitan
64,Airport West,6 Kittyhawk St,4,h,773000,S,13.5,5,3,4,531,309,-37.7263,144.8679,Western Metropolitan
65,Airport West,478 Fullarton Rd,3,h,810000,PI,13.5,3,3,2,555,192,-37.7285,144.8694,Western Metropolitan
66,Airport West,144 Marshall Rd,3,h,715000,S,13.5,3,2,2,422,126,-37.7164,144.8792,Western Metropolitan
67,Airport West,106 Parer Rd,3,h,790000,S,13.5,3,1,3,614,130,-37.7194,144.8827,Western Metropolitan
68,Airport West,3/7 South Rd,3,t,540000,SP,13.5,2,2,1,161,101,-37.7231,144.8802,Western Metropolitan
69,Airport West,37 North St,3,t,825000,SP,13.5,3,2,1,293,102,-37.72,144.8776,Western Metropolitan
70,Airport West,10 Hilbert Rd,3,h,685000,S,13.5,3,1,1,579,113,-37.7226,144.8733,Western Metropolitan
71,Airport West,110 Halsey Rd,3,h,805000,S,13.5,3,1,1,623,130,-37.7184,144.882,Western Metropolitan
72,Airport West,2/13 North St,2,u,510000,S,13.5,2,1,1,141,76,-37.7202,144.8797,Western Metropolitan
73,Airport West,105a Victory Rd,3,h,612000,S,13.5,3,2,1,212,130,-37.7181,144.8824,Western Metropolitan
74,Airport West,117 Marshall Rd,3,h,662000,S,13.5,3,1,2,612,130,-37.7169,144.8815,Western Metropolitan
75,Airport West,34 Moorna Dr,4,h,978000,S,13.5,4,3,2,532,130,-37.7263,144.869,Western Metropolitan
76,Airport West,33 North St,3,h,720000,PI,13.5,3,1,1,585,130,-37.72,144.878,Western Metropolitan
77,Airport West,49 Roberts Rd,4,h,765000,S,13.5,4,1,2,509,130,-37.7261,144.8785,Western Metropolitan
78,Airport West,85 Roberts Rd,4,h,900000,S,13.5,4,2,3,628,146,-37.7256,144.8739,Western Metropolitan
79,Albert Park,105 Kerferd Rd,2,h,1275000,S,3.3,2,1,0,120,82,-37.8459,144.9555,Southern Metropolitan
80,Albert Park,85 Richardson St,2,h,1455000,S,3.3,2,1,0,159,124,-37.845,144.9538,Southern Metropolitan
81,Albert Park,112 Beaconsfield Pde,3,h,2850000,PI,3.3,3,2,0,211,198,-37.8481,144.9499,Southern Metropolitan
82,Albert Park,94 Graham St,3,h,1850000,S,3.3,3,2,0,128,133,-37.8452,144.9488,Southern Metropolitan
83,Albert Park,396 Montague St,2,h,1436000,S,3.3,2,1,0,130,81,-37.8431,144.9565,Southern Metropolitan
84,Albert Park,75 Graham St,2,h,1110000,S,3.3,1,1,0,147,124,-37.8444,144.9484,Southern Metropolitan
85,Albert Park,54 Brooke St,2,h,1550000,S,3.3,2,1,1,167,124,-37.8405,144.9521,Southern Metropolitan
86,Albert Park,104 Richardson St,4,h,2300000,S,3.3,4,2,1,153,180,-37.8447,144.9523,Southern Metropolitan
87,Albert Park,4a Mills St,3,t,1550000,VB,3.3,3,2,2,718,124,-37.8443,144.9598,Southern Metropolitan
88,Albert Park,1 Moubray St,3,h,1800000,VB,3.3,3,2,1,132,159,-37.8415,144.952,Southern Metropolitan
89,Albert Park,29 Faussett St,2,h,2120000,S,3.3,2,1,1,199,107,-37.8422,144.9554,Southern Metropolitan
90,Albert Park,3 Herbert St,3,h,1800000,VB,3.3,3,1,1,253,124,-37.8443,144.9579,Southern Metropolitan
91,Albert Park,24 Kerferd Pl,3,h,1800000,S,3.3,3,2,1,90,122,-37.8421,144.9571,Southern Metropolitan
92,Albert Park,44 Draper St,2,h,1810000,PI,3.3,2,1,0,240,124,-37.8379,144.9539,Southern Metropolitan
93,Albert Park,2 Dundas Pl,3,h,2615000,S,3.3,3,2,1,177,181,-37.8415,144.9585,Southern Metropolitan
94,Albert Park,23 Finlay St,5,h,2100000,S,3.3,5,2,1,237,124,-37.8436,144.9557,Southern Metropolitan
95,Albert Park,31 Richardson St,3,h,1300000,S,3.3,3,1,0,129,124,-37.8422,144.949,Southern Metropolitan
96,Albert Park,4a Gatehouse La,3,h,1370000,S,3.3,3,2,2,0,85,-37.8451,144.9511,Southern Metropolitan
97,Albert Park,60 Brooke St,2,h,1000000,S,3.3,2,1,0,288,124,-37.8407,144.9523,Southern Metropolitan
98,Albert Park,70 Barrett St,3,h,2575000,S,3.3,3,2,1,228,124,-37.8445,144.9501,Southern Metropolitan
99,Albert Park,65 Graham St,2,h,1322500,S,3.3,2,1,0,149,98,-37.8443,144.9481,Southern Metropolitan
100,Albert Park,364 Montague St,2,h,1562500,S,3.3,2,1,0,141,83,-37.8424,144.9562,Southern Metropolitan
101,Albert Park,86 Mills St,3,h,2000000,VB,3.3,3,2,1,211,147,-37.847,144.9575,Southern Metropolitan
102,Albert Park,129 Kerferd Rd,3,h,1900000,S,3.3,3,1,0,209,124,-37.8468,144.9546,Southern Metropolitan
103,Albert Park,97 Page St,3,h,3010000,S,3.3,3,2,0,147,146,-37.8473,144.9551,Southern Metropolitan
104,Albert Park,55 Withers St,4,h,2800000,VB,3.3,4,3,1,327,254,-37.8467,144.9475,Southern Metropolitan
105,Albert Park,10/140 Kerferd Rd,2,u,647000,S,3.3,2,1,1,0,124,-37.846,144.9542,Southern Metropolitan
106,Albert Park,55 Merton St,3,h,2100000,SP,3.3,2,1,1,120,123,-37.8427,144.9546,Southern Metropolitan
107,Albert Park,49 Page St,3,h,2000000,PI,3.3,3,1,1,238,131,-37.8461,144.9528,Southern Metropolitan
108,Albert Park,13/52 Moubray St,1,u,442500,S,3.3,1,1,0,0,34,-37.8421,144.9517,Southern Metropolitan
109,Albert Park,115 Page St,4,h,4735000,S,3.3,4,2,1,330,207,-37.8477,144.9558,Southern Metropolitan
110,Albert Park,32 Page St,2,h,1340000,S,3.3,2,1,0,136,124,-37.846,144.9517,Southern Metropolitan
111,Albert Park,34 Richardson St,3,h,1801000,S,3.3,3,1,1,202,124,-37.8429,144.9493,Southern Metropolitan
112,Albert Park,2b Dundas Pl,3,h,1532000,S,3.3,3,3,1,0,124,-37.8415,144.9585,Southern Metropolitan
113,Albert Park,22 Greig St,3,h,3755000,S,3.3,3,2,2,325,124,-37.8413,144.95,Southern Metropolitan
114,Albert Park,27 Barrett St,4,h,2140000,S,3.3,3,2,1,183,145,-37.8434,144.9495,Southern Metropolitan
115,Albert Park,44 Greig St,2,h,1750000,S,3.3,2,1,1,162,124,-37.8416,144.9488,Southern Metropolitan
116,Albert Park,6 Brooke St,2,h,980000,S,3.3,2,1,0,79,68,-37.8387,144.9519,Southern Metropolitan
117,Albert Park,227a Danks St,3,h,2030000,S,3.3,3,2,0,152,124,-37.8488,144.9551,Southern Metropolitan
118,Albert Park,17 Reed St,3,h,1740000,PI,3.3,3,2,2,147,134,-37.8448,144.9453,Southern Metropolitan
119,Albert Park,74 Bridport St,3,h,2800000,VB,3.3,3,3,1,0,124,-37.8399,144.9577,Southern Metropolitan
120,Albert Park,9 Durham St,1,h,985000,S,3.3,1,1,0,81,54,-37.8411,144.9497,Southern Metropolitan
121,Alphington,6 Smith St,4,h,2000000,S,6.4,3,2,4,853,263,-37.7707,145.0318,Northern Metropolitan
122,Alphington,5/6 Yarralea St,3,h,1110000,S,6.4,3,2,2,208,139.5,-37.7854,145.0325,Northern Metropolitan
123,Alphington,136A Fulham Rd,3,h,1492000,S,6.4,3,2,2,411,139.5,-37.7713,145.0279,Northern Metropolitan
124,Alphington,44 Shiers St,4,h,1717500,S,6.4,4,2,1,599,203,-37.7717,145.031,Northern Metropolitan
125,Alphington,83 Fulham Rd,5,h,2840000,S,6.4,5,4,4,809,165,-37.775,145.0268,Northern Metropolitan
126,Alphington,3/19 Harker St,2,u,525500,S,6.4,2,1,1,88,60,-37.7791,145.0306,Northern Metropolitan
127,Alphington,4/2 Miller St,2,t,805000,S,6.4,2,2,3,155,140,-37.7804,145.0308,Northern Metropolitan
128,Alphington,2/5 Yarana Rd,2,u,465000,S,6.4,2,1,1,0,139.5,-37.7773,145.0314,Northern Metropolitan
129,Alphington,815 Heidelberg Rd,3,h,2000000,PI,6.4,3,3,2,686,139.5,-37.78,145.0341,Northern Metropolitan
130,Alphington,44 Naroon Rd,3,h,1540000,S,6.4,3,1,2,592,139.5,-37.7755,145.0288,Northern Metropolitan
131,Alphington,3/98 Grange Rd,2,u,820000,S,6.4,2,1,1,183,139.5,-37.7747,145.0264,Northern Metropolitan
132,Alphington,10 Bennett St,4,h,1830000,S,6.4,4,2,2,606,112,-37.7743,145.0316,Northern Metropolitan
133,Alphington,38 Bennett St,4,h,2100000,S,6.4,4,2,2,575,271,-37.7723,145.0319,Northern Metropolitan
134,Alphington,2c Hamilton St,3,h,865000,SP,6.4,3,1,1,180,131,-37.7802,145.0243,Northern Metropolitan
135,Alphington,5/5 Yarana Rd,2,u,390000,VB,6.4,2,1,1,0,60,-37.7773,145.0314,Northern Metropolitan
136,Alphington,7/7 Chandler Hwy,2,t,650000,SP,6.4,0,1,0,0,139.5,-37.7848,145.025,Northern Metropolitan
137,Alphington,1/14 Fulham Rd,2,u,512000,S,6.4,2,1,1,0,61,-37.7805,145.0262,Northern Metropolitan
138,Alphington,22 Lowther St,3,h,1165000,S,6.4,3,1,2,979,139.5,-37.7792,145.029,Northern Metropolitan
139,Alphington,11 Margaret Gr,4,h,1900000,SP,6.4,4,2,2,556,272,-37.7844,145.0225,Northern Metropolitan
140,Alphington,6 Naroon Rd,3,h,1485000,SP,6.4,3,0,0,597,139.5,-37.7781,145.0284,Northern Metropolitan
141,Alphington,42 Shiers St,4,h,1950000,S,6.4,4,2,3,589,210,-37.7719,145.0309,Northern Metropolitan
142,Altona,158 Queen St,3,h,520000,VB,13.8,3,2,1,352,242,-37.87,144.825,Western Metropolitan
143,Altona,59 Bracken Gr,5,h,1525000,S,13.8,5,3,3,729,268,-37.8721,144.8105,Western Metropolitan
144,Altona,1/123 Blyth St,2,t,720000,S,13.8,2,1,2,292,125,-37.8687,144.8197,Western Metropolitan
145,Altona,4 Blyth St,3,h,1120000,S,13.8,3,1,2,506,120,-37.8693,144.8375,Western Metropolitan
146,Altona,20 Linnet St,4,h,780000,PI,13.8,4,1,4,655,121.5,-37.868,144.8154,Western Metropolitan
147,Altona,29 Rose St,4,h,1780000,SP,13.8,4,3,6,1057,220,-37.8681,144.819,Western Metropolitan
148,Altona,1/170 Blyth St,3,u,630000,S,13.8,2,1,2,311,94,-37.8702,144.8143,Western Metropolitan
149,Altona,5/35 Grieve Pde,2,u,406000,SP,13.8,2,1,1,65,121.5,-37.8693,144.8171,Western Metropolitan
150,Altona,156 Maidstone St,3,h,660000,VB,13.8,3,1,1,602,123,-37.8616,144.8116,Western Metropolitan
151,Altona,11 Keeshan Ct,3,h,683500,S,13.8,3,1,1,530,121.5,-37.8594,144.817,Western Metropolitan
152,Altona,1/136 Queen St,2,u,580000,S,13.8,2,1,1,225,93,-37.8696,144.827,Western Metropolitan
153,Altona,173 Queen St,3,h,1335000,S,13.8,3,1,4,777,22,-37.8697,144.8249,Western Metropolitan
154,Altona,1/265 Queen St,3,t,800000,SP,13.8,3,2,2,280,121.5,-37.8734,144.8143,Western Metropolitan
155,Altona,3/26 Grieve Pde,2,u,510000,S,13.8,2,1,1,127,76,-37.8686,144.8182,Western Metropolitan
156,Altona,261 Queen St,4,h,1070000,S,13.8,4,2,2,695,121.5,-37.8733,144.8147,Western Metropolitan
157,Altona,4/5 Rose St,2,u,425000,S,13.8,2,1,2,115,57,-37.871,144.8185,Western Metropolitan
158,Altona,1/60 David St,3,u,605000,S,13.8,3,2,2,230,121.5,-37.8646,144.827,Western Metropolitan
159,Altona,1A Merritt Ct,3,t,705000,S,13.8,3,2,2,197,152,-37.8579,144.8181,Western Metropolitan
160,Altona,4/31 Millers Rd,2,u,391000,SP,13.8,2,1,1,0,65,-37.8678,144.8384,Western Metropolitan
161,Altona,111/112 Pier St,2,u,440000,SP,13.8,2,1,1,0,121.5,-37.8659,144.831,Western Metropolitan
162,Altona,24 Wren St,4,h,845000,S,13.8,4,1,2,745,130,-37.8658,144.8155,Western Metropolitan
163,Altona,1/152 Blyth St,3,t,743000,SP,13.8,3,2,2,211,176,-37.8698,144.816,Western Metropolitan
164,Altona,4/57 Blyth St,3,u,730000,SP,13.8,3,2,1,69,141,-37.868,144.8286,Western Metropolitan
165,Altona,164 Maidstone St,3,h,635000,S,13.8,3,1,4,625,121.5,-37.8611,144.8114,Western Metropolitan
166,Altona,3/25 Rayner St,2,u,620000,SP,13.8,2,1,1,168,121.5,-37.8676,144.8202,Western Metropolitan
167,Altona,3/46 Sargood St,2,u,447000,S,13.8,2,1,1,137,77,-37.8655,144.8299,Western Metropolitan
168,Altona,1/57 Blyth St,3,u,730000,SP,13.8,3,2,1,70,121.5,-37.868,144.8287,Western Metropolitan
169,Altona,22 Fenfield St,3,h,678000,S,13.8,3,1,2,606,87,-37.8608,144.8124,Western Metropolitan
170,Altona,5/8 David St,2,u,580000,PI,13.8,2,2,1,175,76,-37.8687,144.8268,Western Metropolitan
171,Altona,1/28 Seves St,3,h,712000,S,13.8,3,1,2,363,121.5,-37.8674,144.8375,Western Metropolitan
172,Altona,27 McIntyre Dr,3,h,840000,SP,13.8,3,2,2,534,136,-37.86,144.8245,Western Metropolitan
173,Altona,4 Boyd St,3,h,980000,S,13.8,3,1,2,724,121.5,-37.8672,144.817,Western Metropolitan
174,Altona,12 Spear Ct,3,t,605100,S,13.8,3,2,0,265,121.5,-37.8583,144.8172,Western Metropolitan
175,Altona,185 Queen St,3,h,880000,PI,13.8,3,3,1,577,121.5,-37.8699,144.8235,Western Metropolitan
176,Altona,3/20 Mulga St,3,u,577000,S,13.8,3,2,1,205,113,-37.8684,144.815,Western Metropolitan
177,Altona,51 Millers Rd,4,h,1030000,S,13.8,4,1,0,797,121.5,-37.8663,144.8387,Western Metropolitan
178,Altona,2/119 Railway St N,3,u,605000,S,13.8,3,1,2,181,121.5,-37.8659,144.822,Western Metropolitan
179,Altona,24 McIntyre Dr,3,h,753000,S,13.8,3,2,2,529,121.5,-37.8612,144.8247,Western Metropolitan
180,Altona,104 Maidstone St,2,h,857000,SP,13.8,2,2,1,675,100,-37.8653,144.8129,Western Metropolitan
181,Altona,49 Bent St,3,h,1500000,S,13.8,3,1,1,929,121.5,-37.8651,144.832,Western Metropolitan
182,Altona,5/57 Blyth St,3,u,730000,SP,13.8,3,2,1,70,3,-37.868,144.8285,Western Metropolitan
183,Altona,15 Kookaburra St,3,h,900000,S,13.8,3,1,4,697,121.5,-37.871,144.8075,Western Metropolitan
184,Altona,219 Civic Pde,3,h,740000,S,13.8,3,1,2,604,121.5,-37.8631,144.8195,Western Metropolitan
185,Altona,3 Curtin Ct,4,h,931000,S,13.8,4,2,3,532,121.5,-37.8637,144.8365,Western Metropolitan
186,Altona,2/60 David St,2,h,535600,SP,13.8,2,1,1,154,91,-37.8646,144.8272,Western Metropolitan
187,Altona North,45 Hearn St,5,h,1085000,S,11.1,5,3,6,592,251,-37.8388,144.8567,Western Metropolitan
188,Altona North,4 Knapp St,3,h,781000,S,11.1,3,1,2,533,117,-37.8291,144.835,Western Metropolitan
189,Altona North,21 Hatherley Gr,3,h,750000,SP,11.1,3,1,3,554,130,-37.8449,144.85,Western Metropolitan
190,Altona North,3/66 Marion St,2,t,421000,S,11.1,2,1,1,77,77,-37.8351,144.8529,Western Metropolitan
191,Altona North,153 Mills St,3,h,1405000,S,11.1,3,1,3,655,130,-37.8338,144.8562,Western Metropolitan
192,Altona North,33 Carthy St,3,h,683000,S,11.1,3,1,2,534,167,-37.8284,144.8355,Western Metropolitan
193,Altona North,16 Harris St,3,h,623000,S,11.1,3,1,3,540,130,-37.8267,144.8368,Western Metropolitan
194,Altona North,1/5 Little St,3,h,720000,VB,11.1,3,2,1,0,130,-37.8379,144.8583,Western Metropolitan
195,Altona North,1/95 Mills St,3,h,588000,S,11.1,3,1,1,328,118,-37.838,144.8555,Western Metropolitan
196,Altona North,5 Binns St,3,h,710000,PI,11.1,3,1,3,540,116,-37.8294,144.8378,Western Metropolitan
197,Altona North,25 Allan St,4,h,875000,SP,11.1,3,1,4,559,169,-37.8448,144.8529,Western Metropolitan
198,Altona North,21 Hatherley Gr,3,h,700000,VB,11.1,3,1,3,554,130,-37.8449,144.85,Western Metropolitan
199,Altona North,1/256 Mason St,2,t,640000,S,11.1,2,1,1,252,130,-37.8397,144.8602,Western Metropolitan
200,Altona North,21 Allan St,4,h,650000,SP,11.1,4,1,4,558,130,-37.8451,144.8529,Western Metropolitan
201,Altona North,2/36 May St,3,h,675000,S,11.1,3,2,2,171,109,-37.8337,144.8554,Western Metropolitan
202,Altona North,11 Beevers St,3,h,708000,S,11.1,3,1,2,585,97,-37.8258,144.8523,Western Metropolitan
203,Altona North,10 Murphy St,4,h,965000,SP,11.1,4,1,4,851,130,-37.8345,144.8444,Western Metropolitan
204,Altona North,16 Beevers St,3,h,680000,S,11.1,3,1,3,551,130,-37.8254,144.8514,Western Metropolitan
205,Altona North,21 Neal Ct,3,h,770000,SP,11.1,3,1,3,602,603,-37.8327,144.8451,Western Metropolitan
206,Altona North,31 Duosa Rd,3,h,923000,S,11.1,3,1,2,740,130,-37.8269,144.8455,Western Metropolitan
207,Altona North,252 Millers Rd,4,h,693000,SP,11.1,4,2,4,315,170,-37.8391,144.8467,Western Metropolitan
208,Altona North,1/156 Chambers Rd,3,h,620000,SP,11.1,5,2,2,276,100,-37.8262,144.8443,Western Metropolitan
209,Altona North,2 Gadsden St,3,h,728500,S,11.1,3,1,1,531,157,-37.8277,144.8385,Western Metropolitan
210,Altona North,24 Hansen St,3,h,931000,S,11.1,3,2,1,590,160,-37.8382,144.8649,Western Metropolitan
211,Altona North,4 Prismall St,3,h,988000,S,11.1,3,1,4,715,130,-37.8423,144.8632,Western Metropolitan
212,Altona North,122 McIntosh Rd,3,h,590000,S,11.1,3,1,2,561,130,-37.8444,144.8491,Western Metropolitan
213,Altona North,35 May St,2,h,610000,S,11.1,2,1,2,691,130,-37.834,144.8553,Western Metropolitan
214,Altona North,6 Hill St,3,h,815000,S,11.1,3,2,3,555,130,-37.8318,144.8388,Western Metropolitan
215,Altona North,84 May St,4,h,970000,S,11.1,4,1,2,708,130,-37.833,144.8494,Western Metropolitan
216,Altona North,155 Chambers Rd,4,h,760000,S,11.1,4,1,3,668,130,-37.8262,144.8439,Western Metropolitan
217,Altona North,268d Mason St,4,t,847500,S,11.1,4,3,1,252,130,-37.8393,144.8568,Western Metropolitan
218,Altona North,5 Cresser St,4,h,1200000,SP,11.1,4,1,4,633,158,-37.8375,144.8541,Western Metropolitan
219,Altona North,107 McIntosh Rd,3,h,700000,SP,11.1,3,1,1,557,130,-37.8441,144.8505,Western Metropolitan
220,Altona North,10 Knapp St,3,h,625000,PI,11.1,3,1,1,536,130,-37.8285,144.8351,Western Metropolitan
221,Altona North,4/221 Blackshaws Rd,2,u,292000,S,11.1,2,1,1,153,70,-37.8332,144.8649,Western Metropolitan
222,Armadale,8/19 Mercer Rd,2,u,599000,S,6.3,2,1,1,0,76,-37.8543,145.0262,Southern Metropolitan
223,Armadale,1/42 Adelaide St,2,u,550000,VB,6.3,2,1,0,861,106,-37.8539,145.0284,Southern Metropolitan
224,Armadale,14/71 Denbigh Rd,3,u,995000,S,6.3,3,2,2,0,100,-37.8552,145.016,Southern Metropolitan
225,Armadale,4/769 High St,3,t,1205000,S,6.3,3,2,2,101,105,-37.854,145.0135,Southern Metropolitan
226,Armadale,7 Llaneast St,3,h,1939000,S,6.3,3,2,2,296,150,-37.8614,145.0274,Southern Metropolitan
227,Armadale,9/55 Northcote Rd,1,u,421500,S,6.3,1,1,0,0,106,-37.853,145.0167,Southern Metropolitan
228,Armadale,28 Cambridge St,3,h,1870000,S,6.3,3,1,1,217,116,-37.8592,145.0182,Southern Metropolitan
229,Armadale,3/16 Fulton St,2,u,678000,S,6.3,2,1,2,0,106,-37.8538,145.0127,Southern Metropolitan
